	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
flgA	286.0	286.0	286.0	284.7	283.9	283.9	283.9	286.0	283.9	283.9	284.7	284.7	284.7	283.9	286.0	286.0	286.0	286.0	286.0	283.9	283.9	283.9	284.7	286.0	283.8	284.7	286.0	286.0	286.0	286.0
dnaA	686.5	686.4	686.5	687.2	684.9	685.5	685.3	685.5	688.3	686.7	687.2	687.2	687.2	685.5	688.0	685.5	688.0	686.5	688.0	686.9	685.3	685.3	687.2	686.5	686.9	687.2	685.3	685.7	688.0	688.0
group_959	408.2	408.2	408.2	408.4	408.2	408.1	408.2	407.9	408.2	408.2	408.4	408.4	408.4	408.1	408.2	407.9	408.2	408.2	407.6	407.9	408.2	408.2	408.4	408.2	408.1	408.4	408.2	408.2	407.6	407.6
rnhA	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2	247.2
group_525	40.4	40.4	40.4	36.1	38.9	39.5	38.9	40.3	38.9	38.9	36.1	36.1	36.1	39.5	37.1	40.3	37.1	40.4	40.4	40.3	38.9	38.9	36.1	40.4	39.5	36.1	37.1	40.4	40.4	40.4
metN_1	517.9	517.9	517.9	516.9	517.9	517.9	517.9	517.9	517.9	517.9	516.9	516.9	516.9	517.9	517.9	517.9	517.9	517.9	516.6	517.9	517.9	517.9	516.9	517.9	517.9	516.9	517.9	517.9	516.6	516.6
peb1	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9	492.9
group_3131	744.6	744.6	744.6	741.2	744.7	744.6	744.7	745.5	744.7	744.7	741.2	741.2	741.2	744.6	744.6	745.5	744.6	744.6	744.6	745.5	744.7	744.7	741.2	744.6	744.6	741.2	744.6	744.6	744.6	744.6
metQ_2	409.8	409.8	409.8	412.0	411.2	409.8	411.2	411.2	410.4	411.2	412.0	412.0	412.0	409.8	410.9	411.2	410.9	409.8	410.9	411.2	411.2	411.2	412.0	409.8	409.8	412.0	410.9	409.8	410.9	410.9
infC	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	312.9	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7	314.7
ilvH	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	256.6	255.6	256.6	256.6	256.6	256.6	256.6
